2001 Treeline Meterological Hourly Data (Summary),,,,,,,,
,,,,,,,,
Reference Dataset with the following format:,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,
,,,,,,,,
,,,,,,,,
,Column.Variable-units| Description,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,
,Note: -6999 denotes missing data,,,,,,,
,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm
01/06/01 14:00,0.18,3.8,304.60,-6999,38.15,350.9,3.15,52.18
01/06/01 15:00,0.18,2.6,179.85,-6999,51.85,355.4,3.13,51.42
01/06/01 16:00,0.18,2.7,72.76,-6999,44.21,346.2,3.05,51.91
01/06/01 17:00,0.18,2.1,9.10,-6999,48.94,348.7,3.02,52.37
01/06/01 18:00,0.18,3.5,0.00,-6999,31.72,341.1,2.67,52.86
01/06/01 19:00,0.18,1.8,0.00,-6999,39.71,24.7,1.59,52.35
01/06/01 20:00,0.18,3.0,0.00,-6999,24.29,4.0,1.61,52.84
01/06/01 21:00,0.18,3.4,0.00,-6999,17.01,326.6,1.14,52.34
01/06/01 22:00,0.18,3.4,0.00,-6999,16.73,307.9,1.23,51.60
01/06/01 23:00,0.18,0.7,0.00,-6999,31.86,301.8,0.52,51.82
01/07/01 00:00,0.18,-2.5,0.00,-6999,54.99,346.0,0.66,52.76
01/07/01 01:00,0.18,-4.3,0.00,-6999,78.40,313.3,0.55,52.23
01/07/01 02:00,0.18,-2.9,0.00,-6999,54.06,41.5,1.29,53.22
01/07/01 03:00,0.18,-0.1,0.00,-6999,35.36,128.9,2.98,51.52
01/07/01 04:00,0.18,0.3,0.00,-6999,32.78,111.0,2.25,51.80
01/07/01 05:00,0.18,-1.9,0.00,-6999,43.72,302.8,0.92,52.77
01/07/01 06:00,0.18,-1.8,0.00,-6999,41.16,149.9,2.66,52.26
01/07/01 07:00,0.18,-0.9,0.00,-6999,35.39,151.0,5.09,51.79
01/07/01 08:00,0.18,-1.0,5.65,-6999,36.19,155.4,5.52,51.80
01/07/01 09:00,0.18,-0.8,106.03,-6999,35.39,156.6,6.13,51.56
01/07/01 10:00,0.18,0.1,248.90,-6999,33.56,156.9,6.75,51.82
01/07/01 11:00,0.49,1.3,355.43,-6999,29.29,153.8,7.29,51.85
01/07/01 12:00,0.92,2.2,400.00,-6999,25.21,143.3,9.16,51.88
01/07/01 13:00,0.92,2.3,404.53,-6999,25.21,135.9,9.33,51.16
01/07/01 14:00,0.92,2.6,329.20,-6999,24.75,148.0,6.90,51.17
01/07/01 15:00,0.92,1.8,171.40,-6999,29.92,153.6,6.17,50.92
01/07/01 16:00,0.92,2.0,117.08,-6999,25.84,153.5,6.90,50.90
01/07/01 17:00,0.92,2.2,20.59,-6999,24.75,161.4,4.25,51.38
01/07/01 18:00,0.92,2.5,0.00,-6999,21.58,145.1,5.52,51.38
01/07/01 19:00,0.92,2.1,0.00,-6999,22.09,137.9,5.12,51.37
01/07/01 20:00,0.92,1.9,0.00,-6999,22.66,136.3,4.81,51.36
01/07/01 21:00,0.92,2.8,0.00,-6999,16.97,142.6,5.06,51.38
01/07/01 22:00,0.92,3.3,0.00,-6999,14.88,152.0,5.50,50.89
01/07/01 23:00,0.92,3.6,0.00,-6999,14.30,158.5,7.24,50.90
01/08/01 00:00,0.92,3.2,0.00,-6999,15.01,145.5,6.10,50.89
01/08/01 01:00,0.92,2.8,0.00,-6999,15.67,143.4,6.46,50.40
01/08/01 02:00,1.39,3.0,0.00,-6999,15.20,153.6,6.97,49.90
01/08/01 03:00,1.39,3.2,0.00,-6999,15.46,142.7,7.87,49.90
01/08/01 04:00,1.39,3.1,0.00,-6999,17.40,140.5,5.57,50.89
01/08/01 05:00,1.50,3.5,0.00,-6999,17.71,143.7,5.39,50.40
01/08/01 06:00,1.56,3.4,0.00,-6999,17.44,141.7,7.93,50.40
01/08/01 07:00,1.56,3.0,0.00,-6999,17.38,147.3,7.79,49.90
01/08/01 08:00,1.56,2.8,13.35,-6999,17.98,150.6,6.61,50.40
01/08/01 09:00,1.56,3.1,106.40,-6999,18.57,144.8,9.53,49.90
01/08/01 10:00,1.69,3.5,148.90,-6999,20.24,139.9,8.31,49.43
01/08/01 11:00,1.69,4.2,309.83,-6999,21.35,140.6,6.93,49.44
01/08/01 12:00,1.69,3.9,397.55,-6999,25.71,158.7,4.60,49.45
01/08/01 13:00,1.69,2.2,311.25,-6999,36.68,181.8,2.29,49.45
01/08/01 14:00,1.69,2.2,213.53,-6999,35.82,197.3,1.32,48.95
01/08/01 15:00,1.69,2.4,169.68,-6999,37.77,179.0,1.54,48.95
01/08/01 16:00,1.69,1.8,83.10,-6999,40.87,186.5,1.26,48.70
01/08/01 17:00,1.69,0.5,15.76,-6999,47.81,252.1,0.66,48.92
01/08/01 18:00,1.69,-0.6,0.00,-6999,52.38,173.5,0.47,49.38
01/08/01 19:00,1.69,-0.5,0.00,-6999,49.15,191.3,0.76,48.89
01/08/01 20:00,1.69,-0.4,0.00,-6999,60.10,160.6,1.54,48.88
01/08/01 21:00,1.69,-1.1,0.00,-6999,80.90,182.0,1.05,48.63
01/08/01 22:00,1.69,-1.5,0.00,-6999,89.20,163.3,1.21,48.86
01/08/01 23:00,1.69,-1.6,0.00,-6999,94.70,151.8,2.68,48.86
01/09/01 00:00,1.69,-1.1,0.00,-6999,92.20,140.5,3.87,49.85
01/09/01 01:00,1.69,-1.0,0.00,-6999,89.20,136.3,3.40,49.85
01/09/01 02:00,1.69,-0.8,0.00,-6999,86.10,138.7,3.07,49.86
01/09/01 03:00,1.69,-1.0,0.00,-6999,88.00,156.1,1.40,49.85
01/09/01 04:00,1.69,-1.9,0.00,-6999,91.90,222.1,0.28,49.85
01/09/01 05:00,1.69,-2.7,0.00,-6999,89.10,252.8,0.37,49.85
01/09/01 06:00,1.69,-3.3,0.00,-6999,78.60,78.1,0.67,49.34
01/09/01 07:00,1.69,-0.9,0.00,-6999,89.00,123.4,1.62,49.85
01/09/01 08:00,1.69,-0.7,1.80,-6999,91.40,163.9,2.10,49.35
01/09/01 09:00,1.69,-1.2,20.42,-6999,93.80,206.5,0.62,49.36
01/09/01 10:00,1.69,-1.4,55.27,-6999,93.40,149.6,1.89,49.35
01/09/01 11:00,1.69,-1.6,92.68,-6999,91.90,307.2,0.69,49.36
01/09/01 12:00,1.69,-1.0,77.02,-6999,89.30,165.9,0.46,48.89
01/09/01 13:00,1.69,-1.4,95.90,-6999,91.80,142.5,1.52,49.38
01/09/01 14:00,1.69,0.2,73.15,-6999,89.00,176.1,2.94,49.38
01/09/01 15:00,1.76,0.2,80.45,-6999,87.90,180.8,2.76,49.38
01/09/01 16:00,1.79,0.3,56.19,-6999,82.30,184.3,2.05,49.38
01/09/01 17:00,1.79,0.1,7.86,-6999,78.90,191.0,2.00,48.89
01/09/01 18:00,1.79,0.2,0.00,-6999,77.10,192.1,2.30,48.89
01/09/01 19:00,1.80,0.4,0.00,-6999,78.40,180.4,3.06,48.64
01/09/01 20:00,1.83,0.5,0.00,-6999,74.30,173.1,3.80,48.88
01/09/01 21:00,1.84,0.1,0.00,-6999,76.40,167.0,4.66,48.86
01/09/01 22:00,1.85,-0.1,0.00,-6999,79.80,207.4,2.62,48.86
01/09/01 23:00,1.86,-0.2,0.00,-6999,79.70,208.7,2.37,48.86
01/10/01 00:00,1.90,-0.3,0.00,-6999,81.40,214.0,1.47,48.86
01/10/01 01:00,2.25,-1.1,0.00,-6999,90.80,227.4,1.41,49.35
01/10/01 02:00,2.70,-1.6,0.00,-6999,98.20,113.1,1.18,47.87
01/10/01 03:00,3.57,-1.0,0.00,-6999,98.20,252.4,0.10,52.32
01/10/01 04:00,5.85,-1.1,0.00,-6999,98.80,247.2,0.20,55.28
01/10/01 05:00,7.21,-1.3,0.00,-6999,99.10,218.9,0.36,57.00
01/10/01 06:00,7.71,-1.7,0.00,-6999,99.20,271.6,0.21,57.25
01/10/01 07:00,7.77,-1.6,0.00,-6999,99.20,272.0,0.55,57.25
01/10/01 08:00,7.77,-1.8,2.76,-6999,99.20,286.1,0.79,57.25
01/10/01 09:00,7.77,-2.1,25.44,-6999,98.70,315.0,0.26,57.24
01/10/01 10:00,7.77,-1.8,53.53,-6999,96.90,310.8,0.49,57.24
01/10/01 11:00,7.77,-1.2,84.03,-6999,90.00,314.1,0.82,56.76
01/10/01 12:00,7.77,0.3,336.38,-6999,78.70,322.9,0.32,56.54
01/10/01 13:00,7.77,2.1,405.43,-6999,64.89,192.5,0.63,56.32
01/10/01 14:00,7.77,1.3,300.20,-6999,69.12,198.1,1.25,56.10
01/10/01 15:00,7.77,0.4,202.85,-6999,71.10,158.4,4.20,57.06
01/10/01 16:00,7.80,0.0,84.39,-6999,70.80,147.8,5.87,57.05
01/10/01 17:00,7.88,-0.1,14.75,-6999,69.65,144.6,5.63,56.29
01/10/01 18:00,7.88,-0.1,0.00,-6999,65.97,139.5,7.39,55.77
01/10/01 19:00,7.88,-0.2,0.00,-6999,64.75,133.9,7.09,55.77
01/10/01 20:00,7.88,0.3,0.00,-6999,59.31,138.4,5.61,55.77
01/10/01 21:00,7.88,0.2,0.00,-6999,57.22,144.2,4.75,55.52
01/10/01 22:00,8.01,0.6,0.00,-6999,55.41,147.2,6.92,55.28
01/10/01 23:00,8.01,0.9,0.00,-6999,55.48,143.1,8.54,52.82
01/11/01 00:00,8.24,1.1,0.00,-6999,54.50,145.6,10.37,48.64
01/11/01 01:00,8.36,1.3,0.00,-6999,52.82,138.3,10.71,45.92
01/11/01 02:00,8.42,1.4,0.00,-6999,53.31,142.8,11.37,47.40
01/11/01 03:00,8.45,1.3,0.00,-6999,53.65,142.2,10.11,46.42
01/11/01 04:00,8.57,1.5,0.00,-6999,53.16,146.2,10.04,45.44
01/11/01 05:00,8.57,1.6,0.00,-6999,53.24,150.1,10.37,44.94
01/11/01 06:00,8.57,1.5,0.00,-6999,56.26,150.1,9.70,44.45
01/11/01 07:00,8.57,0.4,0.00,-6999,70.90,145.8,7.78,44.45
01/11/01 08:00,8.74,-0.7,1.75,-6999,88.40,142.2,7.98,44.43
01/11/01 09:00,8.82,-0.1,20.83,-6999,86.10,137.4,9.88,43.43
01/11/01 10:00,8.83,0.7,50.02,-6999,78.50,136.5,8.61,43.21
01/11/01 11:00,8.88,0.6,96.38,-6999,81.60,136.1,6.87,43.21
01/11/01 12:00,8.95,0.0,156.00,-6999,90.60,139.4,6.53,42.97
01/11/01 13:00,8.98,0.0,197.78,-6999,92.90,150.5,7.17,44.94
01/11/01 14:00,8.99,0.7,115.98,-6999,87.70,155.7,6.43,44.94
01/11/01 15:00,9.01,1.1,55.05,-6999,86.00,160.7,5.54,44.45
01/11/01 16:00,9.03,1.0,45.57,-6999,87.60,149.7,6.80,41.98
01/11/01 17:00,9.08,1.4,5.81,-6999,84.30,145.6,7.55,44.45
01/11/01 18:00,9.16,1.3,0.00,-6999,84.70,175.6,5.23,42.98
01/11/01 19:00,9.38,-1.0,0.00,-6999,97.80,251.5,1.14,43.96
01/11/01 20:00,12.46,-1.5,0.00,-6999,99.10,259.5,0.32,48.37
01/11/01 21:00,16.34,-1.7,0.00,-6999,99.10,290.2,0.11,46.39
